Прекурсор;Растворитель;t, C;t, ч;pH;HNO3;CH3COOH;HCl;H2SO4;t1, C;H1, Дж/г;t2, C;H2, Дж/г;Фазовый состав;A1(C);A2(C);A1(O);A2(O);A1(Fe);A2(Fe);D(842), нм
11;21;150;8;1.5;31;0;0;0;115.4;540.8;420.2;-20.32;41;70.21;69.7;25.92;26.97;3.85;3.25;33.4
12;22;24;24;6;0;0;0;0;114.7;547.4;417.8;-24.07;41;;;;;;;37.8
12;22;24;24;5;0;0;0;0;113.5;550.3;415.3;-19.48;41;68;66.57;21.47;27.95;10.51;5.46;21.3
13;22;24;24;5.7;0;31;0;0;110.8;535.8;419.7;-28.2;41;;;;;;;35.1
13;22;24;24;9.4;0;0;0;0;118;557.3;423.6;-29.4;42;;;;;;;
13;22;24;24;5.7;0;0;0;0;116.8;520.4;425.1;-30.3;41;;;;;;;19.7
13;22;24;24;5.3;0;0;31;0;117.2;550.3;421.8;-27.4;41;;;;;;;17.9
12;22;24;24;2.5;0;0;0;31;117.9;561.5;427.2;-32.5;43;;;;;;;
12;22;24;24;5.5;0;0;0;31;115.3;545.6;420.3;-24.27;41;;;;;;;24
12;22;120;24;5;0;0;0;0;116.1;549.7;419.6;-24.26;41;;;;;;;21.2
